toy_name,colection,price,discount,age,pieces,calification,llavero,original,adult
Castillo de Himeji,Architecture,3999.0,0,18,2125,4.4,False,True,True
Ciudad de Nueva York,Architecture,1499.0,0,12,598,4.0,False,True,True
Londres,Architecture,999.0,0,12,468,4.2,False,True,True
París,Architecture,1299.0,0,12,649,3.5,False,True,True
Gran Pirámide de Guiza,Architecture,3499.0,0,18,1476,3.3,False,True,True
Taj Mahal,Architecture,2999.0,0,18,2022,5.0,False,True,True
Singapur,Architecture,1599.0,0,18,827,2.7,False,True,True
Estatua de la Libertad,Architecture,2999.0,0,16,1685,4.8,False,True,True
La Casa Blanca,Architecture,2599.0,0,18,1483,4.6,False,True,True
Batcueva: Caja Sombría,Batman™,9699.0,0,18,3981,4.4,False,False,True
Batmobile™: Caza de Batman™ vs. The Joker™,Batman™,1199.0,0,8,438,4.7,False,False,False
LEGO® DC Batman™: Batmóvil Blindado,Batman™,6499.0,0,18,2049,4.0,False,False,True
Batwing: Batman™ vs. The Joker™,Batman™,949.0,0,8,357,4.9,False,False,False
Figura para Construir: Batman™,Batman™,829.0,0,8,275,4.7,False,False,False
Batmóvil: Caza de The Penguin™,Batman™,799.0,0,8,392,5.0,False,False,False
Persecución en el Batmobile™: Batman™ vs. The Joker™,Batman™,679.0,0,4,54,4.9,False,False,False
THE BATMAN: BATMOTO,Batman™,1299.0,0,9,641,4.8,False,False,False
Llavero de Harley Quinn™,Batman™,149.0,0,6,1,3.0,True,False,False
Llavero de Batman™,Batman™,149.0,0,6,1,5.0,True,False,False
Jim Lee: Colección de Batman™,Batman™,3199.0,30,18,4167,4.8,False,False,True
THE BATMAN: BATMÓVIL,Batman™,2599.0,30,10,1360,4.7,False,False,False
Batman™ contra Harley Quinn™,Batman™,259.0,30,4,42,4.7,False,False,False
EVA y WALL•E,BrickHeadz,359.0,0,10,155,5.0,False,True,False
Sonic the Hedgehog™,BrickHeadz,249.0,0,10,139,5.0,False,True,False
Jake Sully y su Avatar,BrickHeadz,499.0,40,10,246,5.0,False,True,False
100 Aniversario de Disney,BrickHeadz,999.0,40,10,501,4.7,False,True,False
